other_links.entity_id	Full name	First name	Last name	Knowledge Network	SocialPolitical Network	Religious Network	Gender	AuthorEditor Network	Language Network	Column
46902.0	Philippe Bebius	Philippe	Bebius			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46903.0	Theodoric Becher	Theodoric	Becher			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46904.0	Johann Beirlé	Johann	Beirlé			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46906.0	Giovanni Berardo	Giovanni	Berardo			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
46907.0	Vitus Bering	Vitus	Bering			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46909.0	Margrave of Baden Bernhard Gustav	Margrave of Baden	Bernhard Gustav		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin	
46911.0	Sophia Anna Bernhardi	Sophia Anna	Bernhardi	poetry	elite,nobility	Catholic	Female	Author	latin	
46912.0	Martin Bernitz	Martin	Bernitz	natural philosophy	professional,professional_physician,professional_botanist	Catholic	Male	Author	latin	
46913.0	Johann Berthold	Johann	Berthold			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46914.0	Mario Bettini	Mario	Bettini	natural philosophy		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	italian	
46915.0	Martin Bever	Martin	Beverin		government,elite	Catholic,Catholic_clergy	Male		latin	
46916.0	Nithard Biber	Nithard	Biber			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46917.0	Ernst Bidermann	Ernst	Bidermann			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46918.0	Lambert Bidloo	Lambert	Bidloo	natural philosophy	professional,professional_apothecary	Protestant	Male	Author	latin	
46920.0	Hermann von Biesenrodt	Hermann von	Biesenrodt				Male		latin	
46921.0	Ludwig Bildstein	Ludwig	Bildstein			Catholic,Catholic_clergy	Male		latin	
46922.0	Jacques de Billy	Jacques de	Billy	natural philosophy		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46923.0	Giambattista Bindi	Giambattista	Bindi	natural philosophy	professional,professional_physician		Male		latin	
46924.0	Hans Blaew	Hans	Blaew				Male		latin	
46925.0	Heinrich Julius von Blume	Heinrich Julius von	Blume		professional,professional_archivist	Catholic,Catholic_convert	Male	Author	latin	
46926.0	Paolo Boccone	Paolo	Boccone	natural philosophy		Catholic,Catholic_clergy	Male	Author	italian	
46927.0	Daniel Bockelmann	Daniel	Bockelmann			Catholic,Catholic_clergy	Male		latin	
46928.0	Johann Christian von Bömeburg	Johann Christian von	Bömeburg		elite,government,government_leadership,nobility	Catholic,Catholic_convert	Male	Author	latin, dutch	
46929.0	Claude Boissin	Claude	Boissin		government,government_leadership	Catholic	Male		italian	
46930.0	Jean Bolland (Johannes Bolland)	Jean	Bolland	religion		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46931.0	Johannes Bollius	Johannes	Bollius				Male		latin	
46932.0	David Bartholomé Bonamour	David Bartholomé	Bonamour			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		greek	
46934.0	Onuphrius Borges (Bürgin)	Onuphrius	Borges (Bürgin)			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46935.0	Pierre Bourdin	Pierre	Bourdin			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46940.0	Niccolò Brignone	Niccolò	Brignone				Male		italian	
46942.0	Louis Brouzet	Louis	Brouzet			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male			
46943.0	Claude Simon Brun	Claude Simon	Brun			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46945.0	Domenico Brunacci	Domenico	Brunacci			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
46946.0	Giovanni Francesco Buonamici	Giovanni Francesco	Buonamici	natural philosophy	professional,professional_physician		Male		latin	
46947.0	Francesco Buonarotti	Francesco	Buonarotti			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
46948.0	Theodor Bussaeus	Theodor	Bussaeus			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46949.0	Johann Buxtorf	Johann	Buxtorf	antiquarianism		Protestant	Male	Author	latin	
46950.0	Pietro Maria Cavina	Pietro Maria			government,government_leadership	Catholic	Male	Author	latin	
46952.0	Philipp Callmus	Philipp	Callmus			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46953.0	Giuseppe Candone	Giuseppe	Candone			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
46957.0	Gianantonio Caprini	Gianantonio	Caprini		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_jesuit,Catholic_clergy_leadership  	Male		italian	
46958.0	Francesco Carli	Francesco	Carli			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian, latin	
46961.0	Andreas Carmroth	Andreas	Carmroth	antiquarianism			Male		latin	
46963.0	Pierre Cazré	Pierre	Cazré	natural philosophy		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46964.0	Giovanni Domenico Cassini	Giovanni Domenico	Cassini	natural philosophy	professional,professional_academic,professional_astronomer	Catholic	Male	Author	latin	
46965.0	Juan de Castellas	Juan de	Castellas				Male		spanish	
46966.0	André Catulle	André	Catulle	other	elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	french	
46968.0	Antonio Juan Centellas	Antonio Juan	Centellas		elite,government,government_leadership,nobility	Catholic	Male	Author	spanish	
46969.0	Cristoforo Centurio	Cristoforo	Centurio			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
46970.0	Marco Agapito Centurio	Marco Agapito	Centurio			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46971.0	Pietro Cervieri	Pietro	Cervieri	natural philosophy	professional,professional_physician	Catholic	Male		italian	
46974.0	Antonio Ceschi di Santa Croce	Antonio	Ceschi di Santa Croce			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46976.0	Marquis de Charleval		Charleval				Male		french	
46977.0	François Charpentier	François	Charpentier	antiquarianism	professional,professional_archaeologist		Male	Author		
46978.0	Aimé Chézaud	Aimé	Chézaud			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin, arabic, latin,arabic, italian	
46979.0	Giovanni Paolo Chiaranda	Giovanni Paolo	Chiaranda	antiquarianism		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	italian	
46980.0	Pierre François Chifflet	Pierre François	Chifflet			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46981.0	Johann Christenius	Johann	Christenius	other	professional,professional_academic	Protestant	Male	Author	latin	
46982.0	[unidentified] Christoph	[unidentified]	Christoph			Catholic,Catholic_clergy	Male		latin	
46983.0	Johannes Ciermans	Johannes	Ciermans			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46984.0	Thomas Clagius (Klage)	Thomas	Clagius (Klage)			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
46985.0	Wolfgang Kaspar Clengel	Wolfgang Kaspar	Clengel	other	professional,professional_architect		Male		italian	
46986.0	Giuseppe Coccia	Giuseppe	Coccia				Male		italian, latin	
46987.0	Matthieu Compain	Matthieu	Compain			Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male		latin, french	
46988.0	Juan Ramón de Coninck	Juan Ramón de	Coninck			Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male		latin	
46989.0	Balthasar Conrad	Balthasar	Conrad			Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male		latin	
46993.0	Lodewijk Cools van Tetrode	Lodewijk	Cools van Tetrode				Male		latin	
46994.0	Gottfried Cörler	Gottfried	Cörler			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin, latin,italian	
46995.0	Melchior Cornaeus	Melchior	Cornaeus	religion		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
46996.0	Juan Correa	Juan	Correa			Catholic,Catholic_clergy	Male		italian	
46997.0	Carlo Costanzo Costa	Carlo Costanzo	Costa				Male	Author	italian	
46998.0	Georg Crisanius	Georg	Crisanius	antiquarianism,religion,music,other 		Catholic,Catholic_clergy	Male	Author	latin	
46999.0	Hermann Crombach	Hermann	Crombach	religion		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
47000.0	Albrecht Curtz	Albrecht	Curtz			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
47001.0	Carlo Cusani	Carlo	Cusani			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian	
47002.0	Giulio Cuzzio	Giulio	Cuzzio			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		italian, latin,italian	
47003.0	Jean Baptiste Cysat	Jean Baptiste	Cysat	natural philosophy		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
47007.0	Hubert Dauxon	Hubert	Dauxon			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin,hebrew	
47009.0	Reinhold Dehnig (Dehn)	Reinhold	Dehnig (Dehn)			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin, latin,greek	
47010.0	Peter Philipp von Dernbach	Peter Philipp von	Dernbach		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin, italian, german	
47012.0	Ulrich Dirrhaimer	Ulrich	Dirrhaimer	religion		Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male	Author	latin	
47013.0	Jakob Johann Wenzel Dobrzenski de Nigro Ponte	Jakob Johann Wenzel	Dobrzenski de Nigro Ponte	natural philosophy	professional,professional_physician,professional_academic	Catholic	Male	Author	latin	
47014.0	John Dodington	John	Dodington		government,elite	Protestant	Male		italian, latin	
47015.0	Giovanni Battista Doni	Giovanni Battista	Doni	music	professional,professional_academic	Catholic	Male	Author	latin, italian	
47017.0	Niccolò Dorrigato	Niccolò	Dorrigato				Male		italian	
47018.0	Johannes Drukenbrot	Johannes	Drukenbrot			Catholic,Catholic_clergy,Catholic_clergy_jesuit  	Male		latin	
47019.0	Philippe Sylvestre Dufour	Philippe Sylvestre	Dufour		professional,professional_merchant	Protestant	Male	Author	latin	
