Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius", Giovanni Carlo de' Medici,"Letter to Medici, Giovannin Carlo", 16 April 1661,Letter, Florence, Archivio di Stato,ASF Med 5338 f.1," Notes: May this letter have a copy in: ASF Med, f. 5338, c. 717",,,,,,,,,,,,,,
"Kircher, Athanasius", Giovanni Carlo de' Medici,"Letter to Medici, Giovannin Carlo", 28 August 1658,Letter, Florence, Archivio di Stato,"ASF Med 5331, c. 709"," Notes: Published in Mirto 2000, p. 237-238.",,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 29 January 1651,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Ms. Gal. 275 f.23," Notes: Consulted 2/5/1995. Check also Mirto, Alfonso. Le lettere di Athanasius Kircher della Biblioteca nazionale centrale di Firenze. Atti Mem. Accad. Toscana Sci. Lett. Colombaria. 1989; Vol. 54(n. s. 40): pp. 129-165 for this and other letters in Florence",,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 31 May 1655,Letter, Florence, Biblioteca Nazionale Centrale,BNCF Aut. Pal. II. 70," Notes: Cit. Fletcher, AK und., p. 154. Copy in Aut. Pal. IV. 40",,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 21 June 1663,Letter, Florence, Biblioteca Nazionale Centrale,BNCF Ms. Gal. 276 f. 201," Notes: Printed in Mirto 1989, pp.142-3",,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 3 December 1667,Letter, Florence, Biblioteca Nazionale Centrale,BNCF Ms. Gal. 278 ff.103r-v, Notes: Consulted 4/5/1995. See transcription in Kircher file. There is a copy (sketch) of this letter in APUG 564 f. 138r,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 28 August 1658,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms.Gal. 275 f. 112,Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 15 August 1665,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms.Gal. 277 f. 215.,Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 5 June 1666,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms.Gal. 277 f.285.,Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 12 November 1666,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms.Gal.281 f.88,Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 27 March 1667,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms.Gal.281 f.94,Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 20 August 1667,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Ms. Ga.278 f.40,Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici, 25 May 1668 ,Letter, Florence, Biblioteca Nazionale Centrale,"BNCF:Aut. Palat. IV, 50.",Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius", Leopoldo de' Medici, Letter to Medici,26 October 1675,Letter, Florence, Biblioteca Nazionale Centrale,"BNCF:Aut. Palat. IV, 51.",Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Magliabechi, Antonio", Letter to Magliabechi, 3 January 1676,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms. Magliab.VIII 1223 lettere 54 (f.109),Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Magliabechi, Antonio", Letter to Magliabechi, 19 September 1676 ,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms. Magliab.VIII 1223 lettere 55 (f.110),Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Magliabechi, Antonio", Letter to Magliabechi, 14 November 1676,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms. Magliab.VIII 1223 lettere 57 (f.111),Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Magliabechi, Antonio", Letter to Magliabechi, 18 December 1676,Letter, Florence, Biblioteca Nazionale Centrale,BNCF:Ms. Magliab.VIII 1223 lettere 58 (f.112),Notes: Cited in Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius",Matthias de' Medici and Leopoldo de' Medici, Letter to Medici, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.317"," Notes: Latin. Dedicatory letter for Syntagma VII. Obelisci Minores et sunt Monticaelius Mediceus Mahutaeus, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.317",Latin,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 18 January 1650,Scribal copy, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 351," Notes: Cited in Fletcher ""Kircher and Duke August..."" p. 284",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 4 March 1651,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 353," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 285",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 4 May 1651,Printed copy,,," Published in Z. Goetz, Ad Augustum D.B. et L. Athanasii Kircheri S.I. epistolae tres, Osnabrück, 1717."," Notes: Cited in Fletcher ""Kircher and Duke August..."" p. 284",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 28 July 1651,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 354," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 285,  Published in Z. Goetz, Ad Augustum D.B. et L. Athanasii Kircheri S.I. epistolae tres, Osnabrück, 1717.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 3 January 1660,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 355," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 286",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 3 June 1660,Letter, Wolfenbüttel, Herzog August Bibliothek,HAB BA n. 356," Notes: Cit. in Fletcher (ed.) ""Athanasius Kircher und seine..."" p. 107. Published in Burkhard II, 131-133.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 2 October 1660,Letter, Wolfenbüttel, Herzog August Bibliothek,HAB Cod. Guelf. 3. 5 Aug. 4o fol. 29," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 20 June 1663,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 358," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 288",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 31 August 1664,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 359," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 289",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 31 October 1664,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 360," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 289",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 27 March 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 363," Notes: Cited in Fletcher ""Kircher and astronomy...""p.136",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 27 March 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 403," Notes: Cited in Fletcher ""Kircher and astronomy...""p.136",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 25 April 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 364," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 290",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 25 July 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 366," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 290",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 1 August 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 367," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 290",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 22 August 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 368," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 291",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 19 March 1666,Letter, Wolfenbüttel, Herzog August Bibliothek,HAB 6 Nov. 2o ff. 59-61," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 291. Extract also in HAB Cod. Guelf. 3.I. 300 Aug. 2o",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 2 April 1666,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv, HAB BA n. 370," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 291",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 10 July 1666,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 371," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 292",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 24 July 1666,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 372," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 292",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 4 September 1666,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 373," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 293",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 3 January 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 361," Notes: Cited in Fletcher,  Athanasius Kircher und seine Bezeihungen, p. 152. Einblattdruck Iter cometae",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 21 February 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 362," Notes: Cited in Fletcher,  Athanasius Kircher und seine Bezeihungen, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 8 May 1665,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 365," Notes: Cited in Fletcher,  Athanasius Kircher und seine Bezeihungen, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 8 January 1666,Letter, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 369," Notes: Cited in Fletcher,  Athanasius Kircher und seine Bezeihungen, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 19 July 1651,Printed copy,,"Printed in: Burckhard 1746, p. 126-127",,Notes: : Dated as XIV Kal. Augusti 1651,,,,,,,,,,,,,,
"August, Duke of Brunswick-Lüneburg","Kircher, Athanasius"," Letter to Kircher, Athanasius", 9 January 1651,Printed copy, Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 352,"Notes: Printed in: Burckhard 1746, p. 128-130.",,,,,,,,,,,,,,
"Kircher, Athanasius","August, Duke of Brunswick-Lüneburg"," Letter to August, Duke of Brunswick-Lüneburg", 3 June 1650,Printed copy,,"Printed in: Burckhard 1746, p. 131-132.",,,,,,,,,,,,,,,,
"August, Duke of Brunswick-Lüneburg","Kircher, Athanasius"," Letter to Kircher, Athanasius", 18 January 1651,Letter, Wolfenbüttel, Herzog August Bibliothek,HAB BA n. 352," Notes: Copy. Cited in Fletcher ""Kircher and Duke August...""p. 284",,,,,,,,,,,,,,
"Dal Pozzo, Cassiano","Kircher, Athanasius"," Letter to Kircher, Athanasius", 28 November 1647,, Montpellier, Ecole de Médicine,H270 f. 295rv," Notes: Cit. Anna Nicolo, Il Carteggio di Cassiano dal Pozzo: Catalogo,  Florence: Olschki 1997, p. 8.",,,,,,,,,,,,,,
"Scheiner, Christoph","Kircher, Athanasius"," Letter to Kircher, Athanasius", 16 July 1633,Letter, Paris, Bibliothèque Nationale,BN FF 9538 car. 227t," Notes: See excerpt in Galileo ""Opere"" XV p.184",,,,,,,,,,,,,,
"Kinner, Cyprian","Kircher, Athanasius"," Letter to Kircher, Athanasius", 20 May 1648,, London, British Library,BL Sloane ms. 649 ff. 17r-18r, Notes: Transcribed by Nick Wilding. Other letters from Kinner to Hartlib and others in same vol. Answer to Kircher - Kinner 7 Nov. 1648 (check dates) publ. in Dülmen. There is another copy of this letter in the Hartlib papers  1/33/36A,,,,,,,,,,,,,,
"Charpentier, François ","Kircher, Athanasius"," Letter to Kircher, Athanasius", 15 October 1648,Letter, Paris, Bibliothèque Nationale,BN NAF 6262 f: 30rv,,,,,,,,,,,,,,,
"Friedrich III, duke of Schleswig-Holstein-Gottorf","Kircher, Athanasius"," Letter to Kircher, Athanasius", 1 August 1655,Printed copy,,," Published in J.P. von Ludewig ""Reliquiae manuscriptorum omnis aevi diplomatum...  Frankfurt 1720-1741, V. pp. 391-392",,,,,,,,,,,,,,,
"Nardi, Giovanni","Kircher, Athanasius"," Letter to Kircher, Athanasius", 13 February 1651,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 348-9."," Notes: The date does not appear to correspond to any of the letters from Nardi conserved in APUG. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 348-9.",,,,,,,,,,,,,,
"Chappuius, Ioannes","Kircher, Athanasius"," Letter to Kircher, Athanasius", 15 February 1645,Printed copy,,, Published in Ars Magna Lucis et Umbrae (1646) p. 883.,,,,,,,,,,,,,,,
"Grandami, Jacques","Kircher, Athanasius"," Letter to Kircher, Athanasius", undated (9 May 1640),Printed copy,,," Published excerpt in Athanasius Kircher, Magnes,  Rome: Ludovico Grignani 1641, pp. 473-4.", Notes: Latin,Latin,,,,,,,,,,,,,
"Marci of Kronland, Jan Marcus","Kircher, Athanasius"," Letter to Kircher, Athanasius", 19 August 1666,Letter,Yale, Yale University Library,Beinicke Rare Book Room ms. 408, Notes: Bound with Voynich manuscript,,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius", 12 March 1650,Letter, Paris, Observatoire,Obs C.1.2  f.161rv," Notes: Latin,  Autograph. Copy of APUG 557 342r343v?",Latin,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius", 7 October 1652,Letter, Paris, Observatoire,Obs C.1.2  f.318r319r.," Notes: Latin,  Autograph. Copy of Apug 568  120r.121v?",Latin,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius", April 1654,Letter, Paris, Observatoire,Obs C.1.3  f.422r-423r., Notes: no corresponding copy in APUG. ,,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius", 28 August 1647,Letter, Paris, Observatoire,Obs C.1.1 f. 88,,,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius", 4 May 1648,Letter, Paris, Observatoire,"Obs C.1.1, 89",,,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius",7 April 1649,Letter, Paris, Observatoire,"Obs C.1.1, 140",,,,,,,,,,,,,,,
"Hevelius, Johan","Kircher, Athanasius"," Letter to Kircher, Athanasius",12 June 1649,Letter, Paris, Observatoire,"Obs C.1.1, 141",,,,,,,,,,,,,,,
"Coninck, Juan Ramón de",Athanasius Kircher," Letter to Kircher, Athanasius", 20 July 1653,Scribal copy, Paris, Observatoire,Obs.C.1.3. f. 431r," Notes: Copy,  excerpt. Original letter in APUG 567 135r-136v.",,,,,,,,,,,,,,
"Kircher, Athanasius and Loreto, Elio","Segni, Alessandro",Letter to Segni, 17 April 1678,, London, British Library,"BL Add. Ms. 22, 804 f. 18r", Notes: Italian,Italian,,,,,,,,,,,,,
"Leopold Wilhelm, Archduke of Austria","Kircher, Athanasius","Letter to Kircher, Athanasius", 3 April 1660,Printed copy,,, Published on third page of Kircher's Polygraphia Universalis.,,,,,,,,,,,,,,,
"Kircher, Athanasius","Ferdinand Albrecht,  Duke of Brunswick-Lüneburg",Letter to Ferdinand Albrecht, 20 June 1663,,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB Fb 4o 52," Notes: Inside front of Ferdinand Albrecht's copy of the Polygraphia. From Fletcher, AK und…, p. 153",,,,,,,,,,,,,,
"Brouzet, Louis","Kircher, Athanasius"," Letter to Kircher, Athanasius", 28 December 1632,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.477-479"," Notes: Latin  transl. from French. Accompanied by engraving of two sarcophagi. The original ms. does not appear to be in APUGPublished in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.477-479",Latin,,,,,,,,,,,,,
"Severino, Marco Aurelio ","Kircher, Athanasius"," Letter to Kircher, Athanasius", 1 October 1649,Excerpt, Rome, Biblioteca Lancisiana,66 (LXXIV-3-12) f. 240rv," Notes: Minutes. From Kristeller. See also Pietro de Angelis Giovanni Maria Lancisi. La Biblioteca Lancisiana  L'Accademia Lancisiana, rome 1965,  p. 153 and V. Ducceschi,  ""L'Epistolario di Marco Aurelio Severino (1580-1656)"",  Rivista di storia delle scienze mediche e naturali III, 14, 1923, pp. 213-223.",,,,,,,,,,,,,,
"Severino, Marco Aurelio ","Kircher, Athanasius"," Letter to Kircher, Athanasius", 12 December 1652,Excerpt, Rome, Biblioteca Lancisiana,66 (LXXIV-3-12) f. 241r-242r," Notes: Minutes. From Kristeller. See also Pietro de Angelis Giovanni Maria Lancisi. La Biblioteca Lancisiana  L'Accademia Lancisiana, rome 1965,  p. 153 and V. Ducceschi,  ""L'Epistolario di Marco Aurelio Severino (1580-1656)"",  Rivista di storia delle scienze mediche e naturali III, 14, 1923, pp. 213-223.",,,,,,,,,,,,,,
"Mersenne, Marin","Kircher, Athanasius"," Letter to Kircher, Athanasius",n.d.,Printed copy,,,"Published excerpt in Athanasius Kircher Magnes,  Rome: Ludovico Grignani 1641, pp. 473.", Notes: Latin,Latin,,,,,,,,,,,,,
"Martini, Martino","Kircher, Athanasius"," Letter to Kircher, Athanasius",1638,Printed copy,,,"Published excerpt in Athanasius Kircher Magnes,  Rome: Ludovico Grignani 1641, pp. 433-435.",,,,,,,,,,,,,,,
"Martini, Martino","Kircher, Athanasius"," Letter to Kircher, Athanasius", n.d. (6 February 1639),Printed copy,,,"Published excerpt in Athanasius Kircher Magnes,  Rome: Ludovico Grignani 1641, pp. 436.",,,,,,,,,,,,,,,
"Kircher, Athanasius","Mersenne, Marin"," Letter to Mersenne, Marin", 10 March 1648,Letter,Paris, Bibliothèque Nationale,BN NAF 6204 f. 105," Notes: Cit. Fletcher, AK und…, p. 154.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Monrath, Johannes", Letter to Monrath, 12 February 1675, Letter, Leipzig, Karl-Marx-Universitätsbibliothek,Rep. IV. 47," Notes: Cit. Fletcher, AK und…, p. 154. Copy in Staats- und Universitätsbibliothek Hamburg",,,,,,,,,,,,,,
"Kircher, Athanasius"," Monrath, Johannes", Letter to Monrath, 12 February 1675,Printed copy,,," Published in C.E. Jordan,  Recueil de literature  de philosophie et d'histoire, amsterdam 1730, pp. 141-143. C. Giessing,  Nye samling af danske  norske og islandske iubel-laere, copenhagen 1779-1786 III i 224."," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Moretus, Theodorus", Letter to Moretus, 12 March 1634,Letter, Prague, National Library at the Clementinum,VI B 12b f. 73rv, Notes: Consulted 10 August 2000,,,,,,,,,,,,,,
"Kircher, Athanasius"," Moretus, Theodorus", Letter to Moretus, 1 February 1642,Letter, Prague, National Library at the Clementinum,VI B 12b f. 144rv, Notes: Consulted 10 August 2000,,,,,,,,,,,,,,
"Kircher, Athanasius"," Moretus, Theodorus", Letter to Moretus, 19 February 1642,Letter, Prague, National Library at the Clementinum,VI B 12b f. 219rv, Notes: Consulted 10 August 2000,,,,,,,,,,,,,,
"Kircher, Athanasius"," Nádasdy, Ferenc von", Letter to Nádasdy, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 530."," Notes: Dedicatory letter for Syntagma XX. De Lucernis Veterem Aegyptiorum.Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 530.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Nicaise, Claude", Letter to Nicaise, 14 March 1676,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Autografi Ferrajoli. Raccolta prima VI f. 188rv," Notes: Latin,  autograph. Ref. from Paolo Vian ed.  La ""Raccolta Prima"" degli Autografi Ferrajoli, Introduzione inventario e indice, città del Vaticano, biblioteka apostolica Vaticana, 1990. Consulted 22.6.1999",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Nihus, Barthold", Letter to Nihus, 9 November 1647,Printed copy,,," Published in L. Allacci,  [Greek] sive opusculorum graecorum et latinorum vetustiorum ac recentiorum libri duo  ed. B. Nihus, Cologne 1653 I 237-238, Venice 1733, I 51-52."," Notes: Cit. Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Nihus, Barthold", Letter to Nihus, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 518."," Notes: Dedicatory letter for Syntagma XIX. De Amuletis  & Periaptis  coeterisque portatilibus Icunculis  quibus Aegyptij utebantur., Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 518.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Oliva, Giovanni Paolo", Letter to Oliva, 5 May 1672,Letter, Rome, Archivum Romanum Societatis Iesu,ARSI Rom. 38 ff. 172-189? [Wrong]," Notes: Published in R. Garrucci ""Origini""",,,,,,,,,,,,,,
"Nicusio, Panaioti"," Kircher, Athanasius", Letter to Kircher, 15 June 1654,Printed copy,Printed copy,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 305-306."," Notes: Italian, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 305-306.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Paullini, Christian Franz", Letter to Paullini, 4 February 1679,Printed copy,Printed copy,," Published in C.F. Paullini, Disquisitio curiosa an mors naturalis plerumque sit substantia verminosa Frankfurt 1703,  pp. 181-182."," Notes: From Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Paullini, Christian Franz", Letter to Paullini, n.d. (c. 1675),Printed copy,Printed copy,," Published in C.F. Paullini,  Cynographia curiosa seu canis descriptio, Nuremberg  1685. Prefatory material  no. 1 of ""Vota et censurae aliorum excellentium virorum""."," Notes: From Fletcher, AK und…, p.158.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Peiresc, 14 November 1633,Letter, Paris, Bibliothèque Nationale,BN FF 9538 ff. 230r-232v ," Notes: Autograph, Latin, damaged, sometimes illegible",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Peiresc, 8 February 1635,Letter, Paris, Bibliothèque Nationale,BN FF 9362 ff. 13-16, Notes: Copy of BN NAF 5173 ff. 25r-27v,,,,,,,,,,,,,,
"Kircher, Athanasius"," Peiresc, Nicholas Claude Fabri de", Letter to Peiresc, 8 February 1635,Letter, Paris, Bibliothèque Nationale,BN NAF 5173 ff. 25r-27v. ," Notes: Autograph,  Latin. Copy at BN FF 9362,  ff.13r-16r",Latin,,,,,,,,,,,,,
