Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel,3 February 1662,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 381," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Angles, Bernard d'", Letter to Angles, 2 March 1654,Letter,Dijon, Bibliothèque Municipale,Bibliothèque Municipale ms. 844," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 24 March 1662,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 382," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 14 May 1663,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 386," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 7 July 1663,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 387," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 4 January 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 388," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 25 January 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 389," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 1 March 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 390," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 15 March 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 391," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel,16 April 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 392," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
